I_q1_15	I_q2_15	Q_q1_15	Q_q2_15
-2.41542e+11	-1.29281e+11	2.79985e+10	-3.34383e+11
-2.23136e+11	9.23589e+10	-8.48804e+10	-2.14079e+11
2.13781e+11	-8.23587e+10	-2.08943e+11	-1.16215e+11
-1.05595e+11	1.83597e+11	-2.60614e+11	-2.2153e+11
1.07861e+11	4.49581e+11	-1.61077e+11	-1.86399e+11
3.11867e+11	3.42102e+11	-2.73827e+11	-2.46121e+11
3.02041e+11	6.28488e+11	-1.26909e+11	-2.2683e+11
3.1796e+11	1.12551e+11	-1.20733e+11	-2.58755e+11
4.75932e+10	-4.48301e+10	8.12218e+10	-3.09053e+11
2.8467e+11	6.07242e+11	-1.77949e+11	-2.85733e+10
5.02e+11	2.25159e+11	-1.84796e+11	-1.69246e+11
2.42848e+10	6.52097e+10	-3.53793e+11	-1.07445e+10
2.18325e+11	5.40392e+11	2.91467e+09	-1.30391e+11
3.33807e+11	2.95057e+11	-2.62932e+11	-3.43161e+11
-2.42704e+11	4.63817e+11	-1.18271e+11	-9.98221e+10
-3.31034e+11	4.10536e+11	-6.25666e+10	-1.50776e+11
1.93129e+11	4.05676e+11	-1.71103e+09	-2.59754e+11
1.8007e+11	1.95014e+11	-1.68927e+11	-2.44668e+11
1.82627e+11	4.92666e+11	-2.53149e+11	-3.89986e+11
3.77226e+11	1.56413e+11	-1.59568e+11	-5.95938e+10
-8.58098e+10	2.50196e+11	-2.12817e+11	-1.1288e+11
-8.83497e+10	-1.58413e+11	-1.95989e+11	-2.24082e+11
1.76541e+11	9.53786e+10	8.27603e+10	-2.43346e+11
1.6223e+11	-1.10747e+11	-3.64904e+11	-1.57797e+11
3.67718e+11	4.14637e+11	-3.03637e+11	-2.83919e+10
1.71765e+11	3.51411e+11	-9.91102e+10	-1.16016e+11
1.14725e+11	2.85548e+11	-2.02932e+11	-1.30621e+11
-2.91002e+11	-3.34939e+11	-1.01621e+11	-1.01435e+11
4.11934e+11	2.58796e+11	-1.43821e+11	-3.64514e+11
3.06292e+11	1.36063e+10	-2.61041e+11	-5.6782e+10
1.16346e+11	3.31264e+11	-2.79144e+11	-2.85942e+11
-6.91395e+10	1.04424e+11	-3.76433e+10	-2.00165e+11
2.49659e+11	3.31425e+11	-5.80791e+10	7.71541e+10
1.97403e+10	-8.74698e+08	-1.34403e+11	-2.58032e+11
2.92313e+11	3.93871e+11	-1.17612e+11	-1.69079e+11
-8.99289e+10	1.25647e+10	-2.22592e+11	-1.24915e+11
-1.45187e+11	-3.82442e+10	-2.39534e+11	-2.4033e+11
-1.91104e+11	-1.37725e+11	-7.31148e+10	-1.3063e+11
4.07792e+11	4.06895e+11	-2.45973e+11	-3.02441e+10
7.41184e+09	-6.5418e+10	-4.73551e+10	-4.03362e+11
-7.72618e+10	4.68586e+10	-5.16184e+10	-2.07124e+11
2.0425e+11	-1.74706e+11	-1.75069e+11	-2.17726e+11
3.65134e+11	3.40845e+11	-1.47217e+11	-9.37849e+10
1.07475e+09	-2.0071e+11	-1.67506e+11	1.03332e+10
4.42341e+10	-2.8896e+10	-8.86768e+10	-3.21946e+11
2.02815e+11	-4.54258e+10	-1.43662e+11	-8.56742e+10
3.5053e+11	4.21982e+10	-1.43482e+11	-2.83385e+11
1.5493e+11	1.18011e+11	-2.07967e+11	-1.56966e+11
-9.38136e+10	8.65124e+09	-1.89356e+11	-1.21483e+11
-3.0154e+10	-2.24144e+11	-2.90913e+11	-3.69841e+11
-6.50149e+10	3.4131e+11	-2.78495e+11	-1.5619e+11
1.84937e+11	-7.92827e+10	-2.32659e+10	-1.47232e+11
-8.34789e+10	1.72473e+10	-3.0576e+11	-1.84922e+11
2.3618e+11	1.21822e+11	-6.53591e+10	-4.89511e+11
1.46882e+11	4.24903e+11	-3.91315e+11	3.01231e+10
2.30267e+11	1.32922e+10	-2.76699e+11	-2.80431e+11
-2.07018e+11	-7.77341e+10	-2.80832e+11	-1.31742e+11
1.94453e+11	3.36271e+11	-2.76284e+11	-5.2027e+10
1.51765e+11	5.05642e+11	-3.77549e+11	-1.22132e+11
2.03948e+10	3.64692e+11	-1.78676e+11	-1.26822e+11
-1.369e+11	-1.46788e+11	-2.30478e+11	-2.99659e+11
2.36105e+11	2.00782e+11	-2.13927e+11	-1.93493e+11
-2.63062e+11	8.70056e+10	-6.15932e+10	-2.43153e+11
2.8416e+11	2.41441e+11	-1.75878e+11	-1.71959e+11
1.93385e+11	3.64082e+11	-9.07749e+10	-4.93114e+11
1.52202e+11	9.57727e+10	-1.79695e+11	-2.9372e+11
-2.98452e+10	-1.04782e+11	-3.52095e+11	-3.30463e+10
-2.00093e+11	1.04166e+11	-1.44045e+11	-9.54159e+09
2.23339e+10	-1.91949e+11	-4.56097e+11	-1.40128e+11
-1.40616e+11	2.00097e+11	-1.85769e+11	-1.5112e+11
-1.0252e+11	3.51185e+11	-1.37047e+11	-1.3743e+10
1.00613e+11	4.20348e+11	-1.4221e+11	-1.32526e+11
-6.12397e+10	3.73632e+10	-1.63266e+11	-1.6333e+11
6.66261e+10	-2.05795e+11	-2.41624e+11	-9.66493e+10
